age,total_usage_count
16,38509
17,114483
18,215982
19,373917
20,509236
21,652956
22,873163
23,1450409
24,2179486
25,2683411
26,2994915
27,3182026
28,3317002
29,3348458
30,3400436
31,3275983
32,3108637
33,2920034
34,2746828
35,2542092
36,2362940
37,2193267
38,2038513
39,1926866
40,1790331
41,1678570
42,1617978
43,1600311
44,1573581
45,1537231
46,1501747
47,1473722
48,1429424
49,2775535
50,2719531
51,1296835
52,1204375
53,1139965
54,1104032
55,1054816
56,977604
57,901174
58,815515
59,748700
60,663387
61,598561
62,522544
63,443041
64,377884
65,314021
66,250377
67,194234
68,163081
69,129001
70,108285
71,93892
72,75556
73,59038
74,45161
75,37569
76,31943
77,25040
78,16863
79,10418
80,6789
81,7213
82,5530
83,5527
84,3235
85,1805
86,1793
87,1813
88,881
89,1427
90,484
91,656
92,298
93,393
94,1136
95,2127
96,277
97,390
98,395
99,443
100,548
101,325
102,397
103,225
104,274
105,415
106,751
107,553
108,539
109,364
110,95
111,69
112,314
113,1544
114,2780
115,2269
116,2023
117,4290
118,7180
119,3735
120,197
