,count
16,3802
17,5652
18,9668
19,15911
20,27713
21,37584
22,52298
23,97592
24,131462
25,158119
26,167241
27,185403
28,205960
29,198849
30,209354
31,199270
32,197617
33,182329
34,169425
35,155909
36,141383
37,135602
38,124540
39,130350
40,109407
41,111228
42,110377
43,124377
44,113902
45,96216
46,92919
47,89314
48,84110
49,83787
50,82710
51,75025
52,62232
53,67950
54,56802
55,54953
56,50707
57,45394
58,37797
59,35864
60,34172
61,23899
62,23759
63,18685
64,14166
65,14814
66,10621
67,7903
68,6406
69,4992
70,3649
71,4421
72,2875
73,2129
74,811
75,1057
76,248
77,549
78,639
79,551
80,313
81,396
82,39
83,24
84,59
86,68
87,165
89,39
91,183
92,95
93,53
96,56
100,43
103,78
106,24
110,3
112,253
113,925
114,435
