year,month,trip_count,crash_count,percentage
2022,12,276,0,0.0
2023,1,1851404,28,0.0015123657505331089
2023,2,1747314,30,0.0017169209426582742
2023,3,2182386,48,0.0021994275989673687
2023,4,2830048,66,0.0023321159217087484
2023,5,3549578,119,0.00335251119992292
2023,6,3548892,103,0.0029023142997870884
2023,7,3765980,99,0.0026287978162390668
2023,8,4076233,117,0.0028702971591663185
2023,9,3565891,123,0.003449348283500533
2023,10,3822199,122,0.0031918798576421586
2023,11,2892496,95,0.0032843606352437483
2023,12,2263140,75,0.003313979691932448
