tripduration,starttime,stoptime,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m,CRASH_LATITUDE,CRASH_LONGITUDE,CRASH_DATETIME
673,2017-04-03 07:37:51,2017-04-03 07:49:05,,,,,,,,,,,,,3168.0,Central Park West & W 85 St,40.78472675,-73.96961715,3370.0,E 78 St & 2 Ave,40.7727966,-73.95577801,15163.0,Subscriber,1963.0,2.0,end,3644565,1762.65165163811,85.08706651157313,40.773335,-73.95506,2017-04-03 07:50:00
401,2017-04-03 07:42:46,2017-04-03 07:49:27,,,,,,,,,,,,,3238.0,E 80 St & 2 Ave,40.77391390238118,-73.9543953537941,3155.0,Lexington Ave & E 63 St,40.76440023,-73.96648977,16725.0,Subscriber,1981.0,1.0,start,3644565,85.29995165287052,1383.305547475804,40.773335,-73.95506,2017-04-03 07:50:00
1692,2017-04-03 07:49:07,2017-04-03 08:17:19,,,,,,,,,,,,,388.0,W 26 St & 10 Ave,40.749717753,-74.002950346,3370.0,E 78 St & 2 Ave,40.7727966,-73.95577801,25901.0,Subscriber,1971.0,2.0,end,3644565,4813.038813347798,85.08706651157313,40.773335,-73.95506,2017-04-03 07:50:00
1798,2017-04-03 17:54:14,2017-04-03 18:24:12,,,,,,,,,,,,,519.0,Pershing Square North,40.751873,-73.977706,3178.0,Riverside Dr & W 78 St,40.78414472,-73.98362492,25327.0,Subscriber,1948.0,1.0,start,3644954,33.60805972690375,3589.3426865033703,40.75217,-73.97778,2017-04-03 18:25:00
1283,2017-04-03 18:03:07,2017-04-03 18:24:30,,,,,,,,,,,,,347.0,Greenwich St & W Houston St,40.728846,-74.008591,519.0,Pershing Square North,40.751873,-73.977706,29384.0,Subscriber,1972.0,1.0,end,3644954,3669.407982498968,33.60805972690375,40.75217,-73.97778,2017-04-03 18:25:00
1134,2017-04-03 18:06:17,2017-04-03 18:25:11,,,,,,,,,,,,,519.0,Pershing Square North,40.751873,-73.977706,225.0,W 14 St & The High Line,40.74195138,-74.00803013,18924.0,Subscriber,1990.0,2.0,start,3644954,33.60805972690375,2790.1542304956556,40.75217,-73.97778,2017-04-03 18:25:00
912,2017-04-03 18:09:49,2017-04-03 18:25:02,,,,,,,,,,,,,212.0,W 16 St & The High Line,40.74334935,-74.00681753,519.0,Pershing Square North,40.751873,-73.977706,21223.0,Subscriber,1960.0,1.0,end,3644954,2635.4415678218656,33.60805972690375,40.75217,-73.97778,2017-04-03 18:25:00
826,2017-04-03 18:10:37,2017-04-03 18:24:23,,,,,,,,,,,,,519.0,Pershing Square North,40.751873,-73.977706,428.0,E 3 St & 1 Ave,40.72467721,-73.98783413,25690.0,Subscriber,1989.0,1.0,start,3644954,33.60805972690375,3172.2519332012384,40.75217,-73.97778,2017-04-03 18:25:00
737,2017-04-03 18:13:36,2017-04-03 18:25:54,,,,,,,,,,,,,494.0,W 26 St & 8 Ave,40.74734825,-73.99723551,519.0,Pershing Square North,40.751873,-73.977706,26930.0,Subscriber,1964.0,1.0,end,3644954,1724.3609398513815,33.60805972690375,40.75217,-73.97778,2017-04-03 18:25:00
652,2017-04-03 18:14:02,2017-04-03 18:24:55,,,,,,,,,,,,,466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,519.0,Pershing Square North,40.751873,-73.977706,15038.0,Subscriber,1967.0,2.0,end,3644954,1469.8450239100334,33.60805972690375,40.75217,-73.97778,2017-04-03 18:25:00
678,2017-04-03 18:14:35,2017-04-03 18:25:53,,,,,,,,,,,,,519.0,Pershing Square North,40.751873,-73.977706,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,15037.0,Subscriber,1976.0,2.0,start,3644954,33.60805972690375,1802.2631984329976,40.75217,-73.97778,2017-04-03 18:25:00
573,2017-04-03 18:14:43,2017-04-03 18:24:17,,,,,,,,,,,,,537.0,Lexington Ave & E 24 St,40.74025878,-73.98409214,519.0,Pershing Square North,40.751873,-73.977706,26560.0,Subscriber,1958.0,1.0,end,3644954,1427.2264937066418,33.60805972690375,40.75217,-73.97778,2017-04-03 18:25:00
575,2017-04-03 18:14:50,2017-04-03 18:24:26,,,,,,,,,,,,,486.0,Broadway & W 29 St,40.7462009,-73.98855723,519.0,Pershing Square North,40.751873,-73.977706,19153.0,Subscriber,1988.0,2.0,end,3644954,1124.6109312729384,33.60805972690375,40.75217,-73.97778,2017-04-03 18:25:00
527,2017-04-03 18:16:52,2017-04-03 18:25:40,,,,,,,,,,,,,402.0,Broadway & E 22 St,40.7403432,-73.98955109,519.0,Pershing Square North,40.751873,-73.977706,25758.0,Subscriber,1971.0,1.0,end,3644954,1647.044859631322,33.60805972690375,40.75217,-73.97778,2017-04-03 18:25:00
283,2017-04-03 18:20:14,2017-04-03 18:24:58,,,,,,,,,,,,,519.0,Pershing Square North,40.751873,-73.977706,3431.0,E 35 St & 3 Ave,40.746524,-73.977885,15975.0,Subscriber,1985.0,1.0,start,3644954,33.60805972690375,627.8697275922523,40.75217,-73.97778,2017-04-03 18:25:00
203,2017-04-03 18:21:02,2017-04-03 18:24:25,,,,,,,,,,,,,519.0,Pershing Square North,40.751873,-73.977706,164.0,E 47 St & 2 Ave,40.75323098,-73.97032517,16131.0,Subscriber,1992.0,1.0,start,3644954,33.60805972690375,638.9369303648562,40.75217,-73.97778,2017-04-03 18:25:00
