tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m,CRASH_LATITUDE,CRASH_LONGITUDE,CRASH_DATETIME
361,2014-01-06 19:48:10,2014-01-06 19:54:11,427,State St,40.70251526,-74.01427023,330,Reade St & Broadway,40.71450451,-74.00562789,20272,Subscriber,1974,1,end,4758,1599.1276822659343,83.13994795876656,40.7152351,-74.0054181,2014-01-06 19:55:00
465,2014-01-06 19:55:36,2014-01-06 20:03:21,330,Reade St & Broadway,40.71450451,-74.00562789,251,Mott St & Prince St,40.72317958,-73.99480012,20272,Subscriber,1991,1,start,4758,83.13994795876656,1257.4268871911784,40.7152351,-74.0054181,2014-01-06 19:55:00
324,2014-01-25 16:09:48,2014-01-25 16:15:12,435,W 21 St & 6 Ave,40.74173969,-73.99415556,223,W 13 St & 7 Ave,40.73781509,-73.99994661,15955,Subscriber,1981,1,start,25806,79.18233038077265,604.3069378087858,40.7410276,-73.9941612,2014-01-25 16:16:00
716,2014-02-17 18:40:27,2014-02-17 18:52:23,482,W 15 St & 7 Ave,40.73935542,-73.99931783,229,Great Jones St,40.72743423,-73.99379025,19900,Subscriber,1979,1,end,16466,1339.1918511585225,91.56535793725419,40.7278198,-73.9947504,2014-02-17 18:40:00
521,2014-02-23 22:00:56,2014-02-23 22:09:37,449,W 52 St & 9 Ave,40.76461837,-73.98789473,488,W 39 St & 9 Ave,40.75645824,-73.99372222,14740,Subscriber,1974,1,start,44727,17.529126012333535,1037.7212158650188,40.7647362,-73.988033,2014-02-23 22:00:00
532,2014-02-26 09:06:21,2014-02-26 09:15:13,498,Broadway & W 32 St,40.74854862,-73.98808416,359,E 47 St & Park Ave,40.75510267,-73.97498696,18800,Subscriber,1984,1,end,44761,1309.7222315376027,37.253549190458756,40.7553005,-73.9753439,2014-02-26 09:15:00
534,2014-03-02 16:35:52,2014-03-02 16:44:46,491,E 24 St & Park Ave S,40.74096374,-73.98602213,435,W 21 St & 6 Ave,40.74173969,-73.99415556,18297,Subscriber,1977,2,start,26029,91.30388842463537,678.9139966315909,40.7401843,-73.986363,2014-03-02 16:45:00
445,2014-03-11 14:16:54,2014-03-11 14:24:19,379,W 31 St & 7 Ave,40.749156,-73.9916,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,19604,Subscriber,1964,1,start,304485,34.697801101948144,1188.0636145284627,40.7491025,-73.9920058,2014-03-11 14:24:00
454,2014-03-11 14:23:22,2014-03-11 14:30:56,536,1 Ave & E 30 St,40.74144387,-73.97536082,379,W 31 St & 7 Ave,40.749156,-73.9916,18808,Subscriber,1975,1,end,304485,1640.5724997466507,34.697801101948144,40.7491025,-73.9920058,2014-03-11 14:24:00
356,2014-03-11 20:24:30,2014-03-11 20:30:26,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,401,Allen St & Rivington St,40.72019576,-73.98997825,16300,Subscriber,1986,1,start,304334,48.97678046457849,954.0892034432611,40.7285961,-73.9876715,2014-03-11 20:30:00
400,2014-03-21 18:30:05,2014-03-21 18:36:45,497,E 17 St & Broadway,40.73704984,-73.99009296,439,E 4 St & 2 Ave,40.7262807,-73.98978041,17931,Subscriber,1982,1,end,309233,1209.256321346574,31.422090602475212,40.7261864,-73.9894289,2014-03-21 18:30:00
345,2014-03-23 17:29:04,2014-03-23 17:34:49,297,E 15 St & 3 Ave,40.734232,-73.986923,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,14885,Subscriber,1979,1,end,309682,615.1302202858488,99.54251514014965,40.7395116,-73.9847429,2014-03-23 17:35:00
324,2014-03-24 12:59:10,2014-03-24 13:04:34,340,Madison St & Clinton St,40.71269042,-73.98776323,296,Division St & Bowery,40.71413089,-73.9970468,21391,Subscriber,1990,1,end,310115,871.9265867782403,94.16242811755274,40.7137146,-73.9980197,2014-03-24 13:00:00
727,2014-03-24 12:59:15,2014-03-24 13:11:22,308,St James Pl & Oliver St,40.71307916,-73.99851193,428,E 3 St & 1 Ave,40.72467721,-73.98783413,16720,Subscriber,1976,1,start,310115,81.93716781329849,1490.9025452885492,40.7137146,-73.9980197,2014-03-24 13:00:00
