tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m
436,2016-01-03 22:47:11,2016-01-03 22:54:27,449.0,W 52 St & 9 Ave,40.76461837,-73.98789473,448.0,W 37 St & 10 Ave,40.75660359,-73.9979009,22285.0,Subscriber,1984.0,1.0,,,,,,,,,,,,,start,3364573,17.529126012333535,1228.2181895061658
558,2016-01-09 12:10:53,2016-01-09 12:20:12,537.0,Lexington Ave & E 24 St,40.74025878,-73.98409214,519.0,Pershing Square North,40.751873,-73.977706,21971.0,Subscriber,1979.0,1.0,,,,,,,,,,,,,end,3367467,1425.3280779537058,27.554461830197972
507,2016-01-10 17:59:57,2016-01-10 18:08:25,433.0,E 13 St & Avenue A,40.72955361,-73.98057249,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,16557.0,Subscriber,1986.0,1.0,,,,,,,,,,,,,end,3368507,1000.4700642430545,86.04047824536512
249,2016-01-10 18:00:38,2016-01-10 18:04:48,476.0,E 31 St & 3 Ave,40.74394314,-73.97966069,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,22636.0,Subscriber,1987.0,1.0,,,,,,,,,,,,,end,3368507,603.06068497728,86.04047824536512
271,2016-01-10 18:00:38,2016-01-10 18:05:10,476.0,E 31 St & 3 Ave,40.74394314,-73.97966069,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,23714.0,Subscriber,1987.0,2.0,,,,,,,,,,,,,end,3368507,603.06068497728,86.04047824536512
880,2016-01-13 09:45:48,2016-01-13 10:00:28,503.0,E 20 St & Park Ave,40.73827428,-73.98751968,368.0,Carmine St & 6 Ave,40.73038599,-74.00214988,16558.0,Subscriber,1980.0,1.0,,,,,,,,,,,,,start,3372731,72.24383853431476,1569.0818555934025
1369,2016-01-13 19:06:26,2016-01-13 19:29:15,428.0,E 3 St & 1 Ave,40.72467721,-73.98783413,454.0,E 51 St & 1 Ave,40.75455731,-73.96592976,24142.0,Subscriber,1975.0,2.0,,,,,,,,,,,,,end,3369853,3805.1420069210803,20.52135021441463
575,2016-01-13 19:29:00,2016-01-13 19:38:36,528.0,2 Ave & E 31 St,40.74290902,-73.97706058,454.0,E 51 St & 1 Ave,40.75455731,-73.96592976,16781.0,Subscriber,1990.0,1.0,,,,,,,,,,,,,end,3369853,1605.929111698012,20.52135021441463
561,2016-01-13 19:29:43,2016-01-13 19:39:04,454.0,E 51 St & 1 Ave,40.75455731,-73.96592976,465.0,Broadway & W 41 St,40.75513557,-73.98658032,16179.0,Subscriber,1988.0,1.0,,,,,,,,,,,,,start,3369853,20.52135021441463,1760.4962277447846
271,2016-01-15 20:05:00,2016-01-15 20:09:31,308.0,St James Pl & Oliver St,40.71307916,-73.99851193,307.0,Canal St & Rutgers St,40.71427487,-73.98990025,23876.0,Subscriber,1979.0,1.0,,,,,,,,,,,,,end,3371039,708.925523255087,35.356888471331715
437,2016-01-15 20:09:11,2016-01-15 20:16:29,150.0,E 2 St & Avenue C,40.7208736,-73.98085795,307.0,Canal St & Rutgers St,40.71427487,-73.98990025,17503.0,Subscriber,1984.0,1.0,,,,,,,,,,,,,end,3371039,1093.247739383433,35.356888471331715
1861,2016-01-28 19:59:20,2016-01-28 20:30:21,508.0,W 46 St & 11 Ave,40.76341379,-73.99667444,264.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,22931.0,Subscriber,1992.0,1.0,,,,,,,,,,,,,end,3379878,6328.875179944236,73.27046779351403
660,2016-01-31 13:46:06,2016-01-31 13:57:06,2009.0,Catherine St & Monroe St,40.71117444,-73.99682619,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,22608.0,Subscriber,1958.0,1.0,,,,,,,,,,,,,end,3380576,2234.0685832813037,77.82196720354968
1900,2016-01-31 13:47:43,2016-01-31 14:19:24,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,22231.0,Subscriber,1990.0,1.0,,,,,,,,,,,,,end,3380576,215.7934658856816,77.82196720354968
421,2016-02-01 18:44:35,2016-02-01 18:51:36,321.0,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,242.0,Carlton Ave & Flushing Ave,40.697787,-73.973736,18006.0,Subscriber,1987.0,1.0,,,,,,,,,,,,,end,3382307,1276.4744755078489,91.89945021286563
282,2016-02-03 21:35:50,2016-02-03 21:40:32,280.0,E 10 St & 5 Ave,40.73331967,-73.99510132,297.0,E 15 St & 3 Ave,40.734232,-73.986923,19234.0,Subscriber,1985.0,2.0,,,,,,,,,,,,,start,3383279,35.17588564050588,727.22339764491
559,2016-02-03 21:36:08,2016-02-03 21:45:27,280.0,E 10 St & 5 Ave,40.73331967,-73.99510132,446.0,W 24 St & 7 Ave,40.74487634,-73.99529885,21615.0,Subscriber,1964.0,1.0,,,,,,,,,,,,,start,3383279,35.17588564050588,1272.2444967452423
111,2016-02-04 20:59:40,2016-02-04 21:01:31,307.0,Canal St & Rutgers St,40.71427487,-73.98990025,311.0,Norfolk St & Broome St,40.7172274,-73.98802084,21401.0,Subscriber,1968.0,1.0,,,,,,,,,,,,,end,3383881,389.38848169873773,72.07034932424236
253,2016-02-12 12:55:03,2016-02-12 12:59:17,503.0,E 20 St & Park Ave,40.73827428,-73.98751968,461.0,E 20 St & 2 Ave,40.73587678,-73.98205027,14849.0,Subscriber,1963.0,2.0,,,,,,,,,,,,,start,3387736,19.190622604487718,550.7327182251868
528,2016-02-12 12:59:19,2016-02-12 13:08:07,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,503.0,E 20 St & Park Ave,40.73827428,-73.98751968,23145.0,Subscriber,1965.0,1.0,,,,,,,,,,,,,end,3387736,1018.6169162181405,19.190622604487718
294,2016-02-12 20:44:42,2016-02-12 20:49:36,491.0,E 24 St & Park Ave S,40.74096374,-73.98602213,446.0,W 24 St & 7 Ave,40.74487634,-73.99529885,24327.0,Subscriber,1988.0,1.0,,,,,,,,,,,,,end,3387743,881.5602678450381,75.14616540891588
763,2016-02-17 19:46:58,2016-02-17 19:59:42,509.0,9 Ave & W 22 St,40.7454973,-74.00197139,236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,23024.0,Subscriber,1967.0,1.0,,,,,,,,,,,,,end,3390513,2197.3033994708157,85.85189359635325
875,2016-02-18 19:34:45,2016-02-18 19:49:21,477.0,W 41 St & 8 Ave,40.75640548,-73.9900262,472.0,E 32 St & Park Ave,40.7457121,-73.98194829,21918.0,Subscriber,1951.0,1.0,,,,,,,,,,,,,start,3391107,94.0272326742441,1441.3560583483845
257,2016-02-22 19:51:01,2016-02-22 19:55:19,3101.0,N 12 St & Bedford Ave,40.72079821,-73.95484712,539.0,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,24260.0,Subscriber,1988.0,1.0,,,,,,,,,,,,,end,3393659,753.6418056172591,75.61950018319634
624,2016-02-25 13:49:50,2016-02-25 14:00:15,457.0,Broadway & W 58 St,40.76695317,-73.98169333,2023.0,E 55 St & Lexington Ave,40.75968085,-73.97031366,16416.0,Subscriber,1960.0,1.0,,,,,,,,,,,,,start,3394620,75.30920432218635,1217.8930197890527
138,2016-03-03 09:26:17,2016-03-03 09:28:35,460.0,S 4 St & Wythe Ave,40.71285887,-73.96590294,389.0,Broadway & Berry St,40.71044554,-73.96525063,21180.0,Subscriber,1978.0,1.0,,,,,,,,,,,,,start,3398933,77.23845997601254,338.5830953307319
1902,2016-03-07 18:15:50,2016-03-07 18:47:32,472.0,E 32 St & Park Ave,40.7457121,-73.98194829,323.0,Lawrence St & Willoughby St,40.69236178,-73.98631746,19439.0,Subscriber,1985.0,1.0,,,,,,,,,,,,,end,3401159,5961.99418301562,18.951343997971787
391,2016-03-07 18:42:01,2016-03-07 18:48:32,414.0,Pearl St & Anchorage Pl,40.70281858,-73.98765762,323.0,Lawrence St & Willoughby St,40.69236178,-73.98631746,19500.0,Subscriber,1980.0,1.0,,,,,,,,,,,,,end,3401159,1187.064114085238,18.951343997971787
581,2016-03-12 14:44:54,2016-03-12 14:54:35,3158.0,W 63 St & Broadway,40.77163851,-73.98261428,495.0,W 47 St & 10 Ave,40.76269882,-73.99301222,15228.0,Subscriber,1985.0,1.0,,,,,,,,,,,,,end,3404025,1323.8003702598498,17.058471145251847
246,2016-03-14 12:29:38,2016-03-14 12:33:44,503.0,E 20 St & Park Ave,40.73827428,-73.98751968,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,23863.0,Subscriber,1962.0,1.0,,,,,,,,,,,,,end,3406826,636.7577633501907,42.262353443110314
