tripduration,starttime,stoptime,start_station_id,start station name,start station latitude,start station longitude,end_station_id,end station name,end station latitude,end station longitude,bike_id,usertype,birth year,gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m
176,2019-01-04 18:59:38.407,2019-01-04 19:02:34.503,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,473.0,Rivington St & Chrystie St,40.72110063,-73.9919254,25919,Subscriber,1984,1,start,4063005,87.6505971663106,539.3761795411027
401,2019-01-04 19:00:33.444,2019-01-04 19:07:14.762,128.0,MacDougal St & Prince St,40.72710258,-74.00297088,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,26723,Subscriber,1980,1,end,4063005,648.45196523481,87.6505971663106
1807,2019-01-07 17:29:50.761,2019-01-07 17:59:58.351,468.0,Broadway & W 56 St,40.7652654,-73.98192338,309.0,Murray St & West St,40.7149787,-74.013012,29967,Subscriber,1983,1,end,4063452,6161.204433024412,39.30702073446903
119,2019-01-15 09:17:38.952,2019-01-15 09:19:38.005,454.0,E 51 St & 1 Ave,40.75455731,-73.96592976,385.0,E 55 St & 2 Ave,40.75797322,-73.96603308,32727,Subscriber,1988,2,start,4067691,19.724825444862724,386.63179441866464
885,2019-01-15 09:20:29.200,2019-01-15 09:35:14.854,454.0,E 51 St & 1 Ave,40.75455731,-73.96592976,362.0,Broadway & W 37 St,40.75172632,-73.98753523,32241,Subscriber,1978,1,start,4067691,19.724825444862724,1864.5322752931047
777,2019-01-16 19:16:43.265,2019-01-16 19:29:40.658,545.0,E 23 St & 1 Ave,40.736502,-73.97809472,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,30586,Subscriber,1970,1,start,4056439,82.93109100263486,2032.9774366073304
463,2019-01-18 17:59:33.955,2019-01-18 18:07:16.975,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,545.0,E 23 St & 1 Ave,40.736502,-73.97809472,32463,Subscriber,1983,1,end,4057788,1326.9047714538706,42.19558188175982
402,2019-01-18 18:00:41.470,2019-01-18 18:07:23.993,545.0,E 23 St & 1 Ave,40.736502,-73.97809472,339.0,Avenue D & E 12 St,40.72580614,-73.97422494,32102,Subscriber,1992,1,start,4057788,42.19558188175982,1216.4755374988142
428,2019-01-18 18:00:53.980,2019-01-18 18:08:02.858,497.0,E 17 St & Broadway,40.73704984,-73.99009296,545.0,E 23 St & 1 Ave,40.736502,-73.97809472,32465,Subscriber,1981,2,end,4057788,1054.7460966588844,42.19558188175982
436,2019-01-19 00:30:09.983,2019-01-19 00:37:26.594,468.0,Broadway & W 56 St,40.7652654,-73.98192338,441.0,E 52 St & 2 Ave,40.756014,-73.967416,34745,Subscriber,1979,1,start,4057758,78.70455634516183,1630.1694174226234
396,2019-01-19 17:23:55.354,2019-01-19 17:30:31.630,3409.0,Bergen St & Smith St,40.6867443,-73.99063168,3440.0,Fulton St & Adams St,40.69241829257847,-73.98949474096298,17639,Subscriber,1992,2,end,4057633,723.0561142516818,98.24968450008964
468,2019-01-24 19:13:37.421,2019-01-24 19:21:26.101,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,3656.0,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,34261,Subscriber,1992,2,end,4068638,660.6259085762808,78.37782375269862
728,2019-01-25 19:59:06.787,2019-01-25 20:11:15.500,285.0,Broadway & E 14 St,40.73454567,-73.99074142,3656.0,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,27717,Subscriber,1987,1,end,4069253,1295.9128150107986,78.37782375269862
429,2019-01-28 18:22:58.597,2019-01-28 18:30:07.871,533.0,Broadway & W 38 St,40.75299641,-73.98721619,3641.0,Broadway & W 25 St,40.74286877312112,-73.98918628692627,34369,Subscriber,1989,1,start,4071229,96.24259446035447,1059.184217640056
601,2019-02-01 18:59:16.293,2019-02-01 19:09:18.181,3610.0,Vernon Blvd & 30 Rd,40.770845,-73.934171,3526.0,31 St & 23 Ave,40.7747878,-73.9125551,32035,Subscriber,1988,1,end,4074089,1909.458669498693,38.534057790744306
1179,2019-02-04 08:29:30.582,2019-02-04 08:49:10.333,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,3255.0,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,33865,Subscriber,1989,1,start,4078622,87.6505971663106,3117.5932471529036
477,2019-02-04 08:41:18.582,2019-02-04 08:49:16.268,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,285.0,Broadway & E 14 St,40.73454567,-73.99074142,19155,Subscriber,1973,2,start,4078622,87.6505971663106,1455.8035754407701
431,2019-02-04 08:49:11.433,2019-02-04 08:56:23.093,368.0,Carmine St & 6 Ave,40.73038599,-74.00214988,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,15821,Subscriber,1989,2,end,4078622,927.9843873609854,87.6505971663106
468,2019-02-04 08:49:15.753,2019-02-04 08:57:04.693,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,297.0,E 15 St & 3 Ave,40.734232,-73.986923,32091,Subscriber,1999,1,start,4078622,87.6505971663106,1588.9496665615864
606,2019-02-04 08:49:20.690,2019-02-04 08:59:27.557,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,3701.0,Cliff St & Fulton St,40.70831794366396,-74.00504082441329,18459,Subscriber,1984,1,start,4078622,87.6505971663106,1702.0032639597073
421,2019-02-04 08:50:26.043,2019-02-04 08:57:27.222,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,377.0,6 Ave & Canal St,40.72243797,-74.00566443,30313,Subscriber,1983,1,start,4078622,87.6505971663106,647.5495027858133
374,2019-02-04 14:14:53.255,2019-02-04 14:21:07.415,3152.0,3 Ave & E 71 St,40.76873687,-73.96119945,3167.0,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,35622,Subscriber,1974,1,end,4075060,2058.5807190628875,35.23947032896355
226,2019-02-06 14:31:29.462,2019-02-06 14:35:15.629,520.0,W 52 St & 5 Ave,40.75992262,-73.97648516,524.0,W 43 St & 6 Ave,40.75527307,-73.98316936,34395,Subscriber,1988,1,start,4076387,85.93518382770633,848.4027059841842
220,2019-02-06 14:31:37.180,2019-02-06 14:35:17.761,520.0,W 52 St & 5 Ave,40.75992262,-73.97648516,500.0,Broadway & W 51 St,40.76228826,-73.98336183,34213,Subscriber,1970,1,start,4076387,85.93518382770633,689.8497222891159
757,2019-02-06 14:34:41.673,2019-02-06 14:47:19.407,3360.0,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,520.0,W 52 St & 5 Ave,40.75992262,-73.97648516,17982,Subscriber,1972,1,end,4076387,2529.665287676242,85.93518382770633
488,2019-02-07 19:54:33.986,2019-02-07 20:02:42.250,496.0,E 16 St & 5 Ave,40.73726186,-73.99238967,540.0,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,21420,Subscriber,1976,1,end,4083897,1171.529396460598,98.1946533642267
121,2019-02-10 22:28:54.653,2019-02-10 22:30:55.656,3376.0,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,3155.0,Lexington Ave & E 63 St,40.76440023,-73.96648977,15534,Customer,1999,1,start,4082200,64.27254839769179,410.1505446512441
398,2019-02-11 21:00:01.783,2019-02-11 21:06:39.965,523.0,W 38 St & 8 Ave,40.75466591,-73.99138152,3236.0,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,16374,Subscriber,1990,1,end,4079091,549.6131892630144,87.60848799427572
2188,2019-02-11 21:05:16.409,2019-02-11 21:41:45.195,3236.0,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,3462.0,E 44 St & 2 Ave,40.75118387463277,-73.97138714790344,35725,Subscriber,1989,1,start,4079091,87.60848799427572,2037.5947347382755
351,2019-02-13 15:44:57.291,2019-02-13 15:50:49.282,368.0,Carmine St & 6 Ave,40.73038599,-74.00214988,403.0,E 2 St & 2 Ave,40.72502876,-73.99069656,35200,Subscriber,1991,1,start,4080253,44.350811301106766,1113.1856850583672
245,2019-02-14 12:16:08.403,2019-02-14 12:20:14.159,3463.0,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154,2003.0,1 Ave & E 18 St,40.73381219196632,-73.98054420948029,35659,Subscriber,1967,1,end,4081591,623.1874488828253,80.34967224404345
406,2019-02-14 12:19:20.604,2019-02-14 12:26:06.919,2003.0,1 Ave & E 18 St,40.73381219196632,-73.98054420948029,3641.0,Broadway & W 25 St,40.74286877312112,-73.98918628692627,35758,Subscriber,1991,2,start,4081591,80.34967224404345,1267.5103480298992
1055,2019-02-15 18:12:50.620,2019-02-15 18:30:26.109,79.0,Franklin St & W Broadway,40.71911552,-74.00666661,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,31364,Subscriber,1953,1,end,4082450,1789.557144770403,19.10656050330974
992,2019-02-15 18:13:52.012,2019-02-15 18:30:24.324,79.0,Franklin St & W Broadway,40.71911552,-74.00666661,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,33646,Subscriber,1993,2,end,4082450,1789.557144770403,19.10656050330974
298,2019-02-15 18:25:22.935,2019-02-15 18:30:21.334,432.0,E 7 St & Avenue A,40.72621788,-73.98379855,3263.0,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,31032,Subscriber,1987,1,end,4082450,745.5703252212169,64.01061899232526
168,2019-02-15 18:26:46.765,2019-02-15 18:29:35.568,3263.0,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,438.0,St Marks Pl & 1 Ave,40.72779126,-73.98564945,35310,Subscriber,1954,2,start,4082450,64.01061899232526,520.6163894748469
873,2019-02-15 18:29:08.096,2019-02-15 18:43:41.380,517.0,Pershing Square South,40.751581,-73.97791,3263.0,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,35134,Subscriber,1982,1,end,4082450,2639.613704352104,64.01061899232526
565,2019-02-15 18:30:14.317,2019-02-15 18:39:40.213,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,546.0,E 30 St & Park Ave S,40.74444921,-73.98303529,32649,Subscriber,1981,1,start,4082450,19.10656050330974,1739.5776568888848
785,2019-02-15 18:30:23.498,2019-02-15 18:43:28.930,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,474.0,5 Ave & E 29 St,40.7451677,-73.98683077,17068,Subscriber,1972,2,start,4082450,19.10656050330974,1719.8444592314004
1199,2019-02-15 18:30:24.639,2019-02-15 18:50:24.590,266.0,Avenue D & E 8 St,40.72368361,-73.97574813,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,21604,Subscriber,1992,2,end,4082450,1471.8202290138404,19.10656050330974
1631,2019-02-15 18:30:56.945,2019-02-15 18:58:08.056,3474.0,6 Ave & Spring St,40.7252556952547,-74.00412082672119,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,35325,Subscriber,1962,1,end,4082450,1221.5575114164133,19.10656050330974
651,2019-02-15 22:31:27.017,2019-02-15 22:42:18.224,383.0,Greenwich Ave & Charles St,40.735238,-74.000271,403.0,E 2 St & 2 Ave,40.72502876,-73.99069656,32022,Subscriber,1941,1,start,4082044,65.8891421725766,1328.7290179016197
1925,2019-02-16 19:16:10.184,2019-02-16 19:48:15.222,515.0,W 43 St & 10 Ave,40.76009437,-73.99461843,307.0,Canal St & Rutgers St,40.71427487,-73.98990025,35343,Subscriber,1988,1,start,4081950,89.45039223925394,5064.466968507384
1924,2019-02-16 19:16:15.379,2019-02-16 19:48:19.596,515.0,W 43 St & 10 Ave,40.76009437,-73.99461843,307.0,Canal St & Rutgers St,40.71427487,-73.98990025,33741,Subscriber,1992,1,start,4081950,89.45039223925394,5064.466968507384
341,2019-02-16 19:42:42.220,2019-02-16 19:48:23.881,465.0,Broadway & W 41 St,40.75513557,-73.98658032,515.0,W 43 St & 10 Ave,40.76009437,-73.99461843,17861,Subscriber,1978,1,end,4081950,900.5540980265887,89.45039223925394
282,2019-02-17 14:24:32.076,2019-02-17 14:29:14.420,236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,3711.0,E 13 St & Avenue A,40.72966729392978,-73.98067966103554,29192,Subscriber,1990,1,end,4083967,548.3122904654854,16.884071585155265
247,2019-02-21 13:30:02.679,2019-02-21 13:34:10.474,335.0,Washington Pl & Broadway,40.72903917,-73.99404649,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,26131,Subscriber,1987,1,start,4085317,25.22272286971913,822.3902129543247
1079,2019-02-23 20:31:54.287,2019-02-23 20:49:54.003,450.0,W 49 St & 8 Ave,40.76227205,-73.98788205,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,27626,Subscriber,1996,1,end,4096436,3614.06373356269,77.49350195059328
975,2019-02-23 20:49:44.638,2019-02-23 21:05:59.792,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,519.0,Pershing Square North,40.751873,-73.977706,20885,Customer,1973,1,start,4096436,77.49350195059328,2573.8363246114595
931,2019-02-23 20:49:58.223,2019-02-23 21:05:30.112,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,519.0,Pershing Square North,40.751873,-73.977706,27355,Subscriber,1965,2,start,4096436,77.49350195059328,2573.8363246114595
596,2019-02-24 19:34:27.704,2019-02-24 19:44:23.998,3244.0,University Pl & E 8 St,40.73143724085228,-73.99490341544151,432.0,E 7 St & Avenue A,40.72621788,-73.98379855,30182,Subscriber,1988,1,end,4085915,1136.054495487144,84.2661248803289
245,2019-02-24 19:44:24.337,2019-02-24 19:48:29.833,432.0,E 7 St & Avenue A,40.72621788,-73.98379855,393.0,E 5 St & Avenue C,40.72299208,-73.97995466,25515,Subscriber,1995,1,start,4085915,84.2661248803289,435.71209999369745
255,2019-02-24 19:44:29.066,2019-02-24 19:48:44.888,432.0,E 7 St & Avenue A,40.72621788,-73.98379855,393.0,E 5 St & Avenue C,40.72299208,-73.97995466,30303,Subscriber,1991,1,start,4085915,84.2661248803289,435.71209999369745
291,2019-02-25 18:44:44.028,2019-02-25 18:49:35.697,432.0,E 7 St & Avenue A,40.72621788,-73.98379855,236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,16813,Subscriber,1994,2,start,4087513,42.69593109719863,394.01327680745663
233,2019-02-28 20:40:22.453,2019-02-28 20:44:15.834,3360.0,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,3164.0,Columbus Ave & W 72 St,40.7770575,-73.97898475,33909,Subscriber,1967,1,end,4089309,614.9459736736486,41.98676471996413
1684,2019-03-06 18:29:02.733,2019-03-06 18:57:07.281,516.0,E 47 St & 1 Ave,40.75206862,-73.96784384,346.0,Bank St & Hudson St,40.73652889,-74.00618026,32357,Subscriber,1950,1,start,4092802,29.641728261916914,3672.1186174488967
345,2019-03-06 18:52:14.420,2019-03-06 18:57:59.595,516.0,E 47 St & 1 Ave,40.75206862,-73.96784384,167.0,E 39 St & 3 Ave,40.7489006,-73.97604882,26917,Subscriber,1974,1,start,4092802,29.641728261916914,785.9849352448443
243,2019-03-07 15:17:01.056,2019-03-07 15:21:04.580,3518.0,Lenox Ave & W 126 St,40.808442,-73.9452087,3622.0,E 128 St & Madison Ave,40.80756,-73.939182,36029,Subscriber,1956,1,start,4094328,89.16104658238359,481.98157716640964
2798,2019-03-09 14:00:16.354,2019-03-09 14:46:55.273,516.0,E 47 St & 1 Ave,40.75206862,-73.96784384,72.0,W 52 St & 11 Ave,40.76727216,-73.99392888,36775,Subscriber,1953,1,start,4093664,29.641728261916914,2801.6294043938465
431,2019-03-10 21:02:28.266,2019-03-10 21:09:39.392,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,319.0,Fulton St & Broadway,40.711066,-74.009447,35144,Subscriber,1987,2,end,4095297,790.4772910918081,82.6304962723167
413,2019-03-10 21:02:45.580,2019-03-10 21:09:39.440,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,319.0,Fulton St & Broadway,40.711066,-74.009447,28975,Subscriber,1991,1,end,4095297,790.4772910918081,82.6304962723167
1209,2019-03-11 16:55:10.502,2019-03-11 17:15:20.002,405.0,Washington St & Gansevoort St,40.739323,-74.008119,484.0,W 44 St & 5 Ave,40.75500254,-73.98014437,28394,Subscriber,1976,1,end,4097967,2930.7271728439177,30.144093840366352
373,2019-03-11 17:08:12.009,2019-03-11 17:14:25.116,2023.0,E 55 St & Lexington Ave,40.75968085,-73.97031366,3680.0,E 43 St & 5 Ave,40.754120810779256,-73.98025184869766,25843,Subscriber,1973,1,end,4097967,976.9262101895324,77.86315637303842
265,2019-03-11 17:11:24.408,2019-03-11 17:15:49.667,3680.0,E 43 St & 5 Ave,40.754120810779256,-73.98025184869766,526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,33605,Subscriber,1978,1,start,4097967,77.86315637303842,895.5221351623827
368,2019-03-11 17:14:01.620,2019-03-11 17:20:09.683,484.0,W 44 St & 5 Ave,40.75500254,-73.98014437,492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,14823,Subscriber,1974,1,start,4097967,30.144093840366352,1056.6379776078777
